,表达式,fitness,代数,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
12,"common_max(common_tan(成交额), dynamic_ts_std(成交额,87))",0.023509150379125626,0,0.020864190070762945,-0.023509150379125626,-0.020864190070762945,0.0767054960690971,0.0673672190781312,0.008425750858633636,-0.0260877081584374
13,common_tan(最低价),0.024310978382400282,0,0.005202300437039123,0.024310978382400282,0.005202300437039123,0.09092417164115128,0.023171791961665526,-0.0053004621963986445,0.009895803083963886
14,"common_div(common_mul(common_abs(成交额), common_div(0.806, 开盘价)), -0.973)",0.020962219005882562,0,0.029066302838597773,0.020962219005882562,0.029066302838597773,0.049753654199215194,0.0970740773118558,0.009960072957098977,0.043627208176425396
15,common_log(成交额),0.02806443728290474,0,0.013237789739273694,-0.02806443728290474,-0.013237789739273694,0.08174239545418104,0.041888850025570044,-0.01214551758565678,-0.03324687162725465
16,common_sqrt(成交量),0.02142021934467132,0,0.029149213677993665,-0.02142021934467132,-0.029149213677993665,0.05329952791042578,0.09572578171760424,-0.009950040061329797,-0.044455587674968995
17,"common_mul(最高价, 成交量)",0.03702563573044161,0,0.01360131599402208,-0.03702563573044161,-0.01360131599402208,0.091322948981487,0.04139751061318424,-0.012275100125937816,-0.03379721029357772
18,"common_max(common_tan(最低价), 成交量)",0.021349781416624254,0,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
19,"common_sub(收盘价, 成交额)",0.03685381976027319,0,0.01361263579524827,0.03685381976027319,0.01361263579524827,0.0911085330179318,0.04151332190276519,0.01214551758565678,0.03324687162725465
20,"common_sub(dynamic_ts_mean(最高价,17), common_sub(0.120, 成交量))",0.022355469014043266,0,0.028951108455319043,-0.022355469014043266,-0.028951108455319043,0.05273431911724789,0.0966624511037681,-0.011835405944070457,-0.044455587674968995
21,"dynamic_ts_max(最高价,35)",0.02937901020144885,0,0.02325174823649377,0.02937901020144885,0.02325174823649377,0.08139261152207312,0.06398358891456238,0.004052173090743851,-0.011136804002137303
22,"common_max(common_inv(成交额), common_abs(成交额))",0.03685381946717767,0,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
23,"common_div(最低价, 收盘价)",0.031531008066028696,0,0.08531015704553753,0.031531008066028696,0.08531015704553753,0.08524761924133195,0.256738817819191,0.0640714025515601,0.12495246232130854
24,"common_min(common_sqrt(common_sub(最低价, 开盘价)), common_inv(common_inv(开盘价)))",0.0361651918442607,0,0.013852971117168643,-0.0361651918442607,0.013852971117168643,0.11717334112982801,0.03951734261515874,-0.0418534191779519,-0.023364625108781834
25,"common_max(0.036, 成交量)",0.021349781416624254,0,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
26,"dynamic_ts_mean(common_tan(最高价),87)",0.02271441686648295,0,0.01852554542633515,-0.02271441686648295,0.01852554542633515,0.10183546190632681,0.07935693050766313,-0.028528246386216646,0.021986685243231385
27,"common_tan(common_min(收盘价, common_sub(成交量, 成交额)))",0.0392090667312741,0,0.0027024063739635577,-0.0392090667312741,0.0027024063739635577,0.16059589706343502,0.009789311858016507,-0.03138599164186152,0.021608012611879213
