,表达式,fitness,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
23,"common_inv(ts_max_10(common_div(收盘价, 成交额)))",0.025246177372268936,0.0,-0.025246177372268936,0.0,0.07834377299523704,0.0,0.0,0.0
24,"common_add(common_mul(成交量, 收盘价), common_add(成交量, 收盘价))",0.026218197168411533,0.0,-0.026218197168411533,0.0,0.07078515604728634,0.0,-0.03616449309470902,0.0
25,"common_abs(common_mul(成交额, 成交量))",0.02585413226901509,0.0,-0.02585413226901509,0.0,0.07029837608336895,0.0,-0.0230326959192286,0.0
26,"common_div(common_sqrt(common_mul(收盘价, 成交量)), common_sqrt(common_max(最高价, 成交额)))",0.07160597328614136,0.0,-0.07160597328614136,0.0,0.20800696894664966,0.0,0.12136492842425162,0.0
27,"common_add(成交额, -0.093)",0.025288224598240153,0.0,-0.025288224598240153,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
28,"common_max(common_add(开盘价, 收盘价), common_sqrt(成交额))",0.023407188552316334,0.0,-0.023407188552316334,0.0,0.06548528192554229,0.0,-0.04950647961562365,0.0
29,ts_std_10(收盘价),0.022397500626069513,0.0,0.022397500626069513,0.0,0.06301029065452957,0.0,-0.1414753835759872,0.0
30,"common_add(common_log(收盘价), common_sub(最高价, 成交额))",0.02528822542389605,0.0,0.02528822542389605,0.0,0.06861665845725659,0.0,0.04950647961562365,0.0
31,"common_mul(common_add(common_inv(最低价), 成交额), ts_mean_10(-0.824))",0.025951346065493815,0.0,0.025951346065493815,0.0,0.0703895406665608,0.0,0.1525745722430567,0.0
32,"common_min(common_abs(成交量), common_add(成交量, -0.032))",0.02445980063734881,0.0,-0.02445980063734881,0.0,0.06661937222515661,0.0,-0.00442817320033413,0.0
33,"common_max(成交额, 开盘价)",0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
34,"common_add(最低价, 成交量)",0.02445979733313896,0.0,-0.02445979733313896,0.0,0.0666193639610195,0.0,-0.00442817320033413,0.0
35,ts_max_10(ts_max_10(ts_std_10(最高价))),0.020202250550996396,0.0,0.020202250550996396,0.0,0.05836823565556637,0.0,0.0,0.0
36,"ts_mean_10(ts_mean_10(common_mul(开盘价, 最低价)))",0.021791177299215973,0.0,0.021791177299215973,0.0,0.062381774426718904,0.0,0.0,0.0
37,"common_max(common_min(common_sub(成交额, 开盘价), common_log(成交额)), common_mul(common_inv(-0.729), common_max(收盘价, 成交额)))",0.020686928728955563,0.0,-0.020686928728955563,0.0,0.06262666780303165,0.0,-0.04950647961562365,0.0
38,common_inv(common_abs(common_tan(开盘价))),0.022541738383725998,0.0,0.022541738383725998,0.0,0.08908705816026868,0.0,0.07196862809714666,0.0
39,"common_max(开盘价, 成交量)",0.024459800637348823,0.0,-0.024459800637348823,0.0,0.06661937222515658,0.0,-0.00442817320033413,0.0
40,"common_add(common_mul(成交量, 收盘价), common_add(最低价, 成交额))",0.025513008514721585,0.0,-0.025513008514721585,0.0,0.0692047080007782,0.0,-0.04950647961562365,0.0
41,"common_max(最高价, 成交额)",0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
42,"common_mul(common_log(成交额), common_sub(-0.095, common_add(common_mul(最高价, 成交量), 最高价)))",0.025491531856618368,0.0,0.025491531856618368,0.0,0.06891882438161603,0.0,0.04891707457100823,0.0
43,"common_sqrt(common_sub(收盘价, 成交额))",0.023407189037128046,0.0,-0.023407189037128046,0.0,0.06548528365539807,0.0,-0.04950647961562365,0.0
44,"common_max(0.036, common_add(最低价, 成交额))",0.025288223849282265,0.0,-0.025288223849282265,0.0,0.06861665414116308,0.0,-0.04950647961562365,0.0
45,"common_add(common_abs(common_mul(成交额, 成交量)), common_add(成交量, 收盘价))",0.025854132269593398,0.0,-0.025854132269593398,0.0,0.0702983760829768,0.0,-0.0230326959192286,0.0
46,成交额,0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
47,"common_div(common_abs(common_mul(成交额, 成交量)), common_sqrt(common_max(最高价, 成交额)))",0.02565350888913278,0.0,-0.02565350888913278,0.0,0.06925385254807367,0.0,-0.005244704120328141,0.0
48,成交量,0.024459800637348823,0.0,-0.024459800637348823,0.0,0.06661937222515658,0.0,-0.00442817320033413,0.0
49,"common_max(common_sub(common_abs(0.660), ts_max_10(成交量)), common_mul(成交额, 成交量))",0.027625650272455896,0.0,-0.027625650272455896,0.0,0.07669877601312551,0.0,-0.14513649411536936,0.0
50,"common_min(common_mul(common_add(common_inv(最低价), 成交额), ts_mean_10(-0.824)), common_add(成交量, -0.032))",0.025951346065493815,0.0,0.025951346065493815,0.0,0.0703895406665608,0.0,0.1525745722430567,0.0
51,"common_add(common_log(收盘价), common_add(成交量, 收盘价))",0.024459797305536365,0.0,-0.024459797305536365,0.0,0.0666193638883222,0.0,-0.00442817320033413,0.0
52,"common_mul(common_log(成交额), common_sub(-0.095, 成交量))",0.02473221963327308,0.0,0.02473221963327308,0.0,0.06717129492587702,0.0,0.00914881884800377,0.0
53,"common_div(common_sqrt(common_mul(common_add(最低价, 成交额), 成交量)), common_sqrt(common_max(最高价, 成交额)))",0.02452763119522191,0.0,-0.02452763119522191,0.0,0.06848317798794085,0.0,-0.00442817320033413,0.0
54,"common_mul(common_add(common_inv(最低价), 成交额), common_div(最低价, 收盘价))",0.024847654884453386,0.0,-0.024847654884453386,0.0,0.06762168610542382,0.0,-0.05046540619515762,0.0
55,"common_sqrt(common_sub(common_sub(最低价, 成交额), 开盘价))",0.023407188525363457,0.0,-0.023407188525363457,0.0,0.06548528184478795,0.0,-0.04950647961562365,0.0
56,"common_mul(common_log(成交额), common_sub(-0.095, ts_max_10(common_div(收盘价, 成交额))))",0.02149281115888117,0.0,0.02149281115888117,0.0,0.06580809206912787,0.0,0.1525745722430567,0.0
57,"common_add(common_max(成交量, 收盘价), common_add(成交量, 收盘价))",0.024459799017436706,0.0,-0.024459799017436706,0.0,0.06661936818296069,0.0,-0.00442817320033413,0.0
58,"common_mul(成交量, 收盘价)",0.025739130203612542,0.0,-0.025739130203612542,0.0,0.0697967322718536,0.0,-0.049875771338775264,0.0
59,"common_mul(收盘价, 成交量)",0.025739130203612542,0.0,-0.025739130203612542,0.0,0.0697967322718536,0.0,-0.049875771338775264,0.0
60,"common_max(common_add(开盘价, 收盘价), common_mul(最高价, 成交量))",0.02536393105439555,0.0,-0.02536393105439555,0.0,0.06867295804690378,0.0,-0.050539613322523436,0.0
61,"common_mul(common_add(common_sub(ts_mean_10(收盘价), ts_std_10(0.237)), 成交额), ts_mean_10(-0.824))",0.025951345245503257,0.0,0.025951345245503257,0.0,0.07038953842126676,0.0,0.1525745722430567,0.0
62,"common_max(common_add(开盘价, 收盘价), 成交额)",0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
63,"common_add(common_add(common_mul(成交量, 收盘价), common_add(成交量, 收盘价)), common_add(成交量, 收盘价))",0.02624301537139097,0.0,-0.02624301537139097,0.0,0.07076645442483033,0.0,-0.03815815212911,0.0
64,"common_add(common_sub(收盘价, 成交额), common_sqrt(成交额))",0.02528827853118674,0.0,0.02528827853118674,0.0,0.06861676389002043,0.0,0.04950647961562365,0.0
65,"common_mul(成交额, 成交量)",0.02585413226901509,0.0,-0.02585413226901509,0.0,0.07029837608336895,0.0,-0.0230326959192286,0.0
66,common_abs(成交额),0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
67,"common_add(成交量, 收盘价)",0.024459797397523807,0.0,-0.024459797397523807,0.0,0.06661936414076221,0.0,-0.00442817320033413,0.0
68,"common_mul(common_log(成交额), common_sub(-0.095, common_mul(common_inv(成交量), 成交量)))",0.02068692872895559,0.0,0.02068692872895559,0.0,0.06262666780303165,0.0,0.04950647961562365,0.0
69,"common_sub(最低价, 收盘价)",0.02547502227855384,0.0,0.02547502227855384,0.0,0.07362832592470143,0.0,-0.05376960521940483,0.0
70,"common_mul(common_add(ts_mean_10(最高价), 成交额), ts_mean_10(-0.824))",0.025951345233986935,0.0,0.025951345233986935,0.0,0.07038953838651112,0.0,0.1525745722430567,0.0
71,"common_mul(common_log(成交额), common_add(成交额, -0.093))",0.02542469907149265,0.0,-0.02542469907149265,0.0,0.06888175181879676,0.0,-0.04950647961562365,0.0
72,"common_sqrt(common_max(最高价, 成交额))",0.023407188552316334,0.0,-0.023407188552316334,0.0,0.06548528192554229,0.0,-0.04950647961562365,0.0
73,"common_add(common_mul(成交量, 收盘价), common_add(收盘价, 成交量))",0.026218197168411533,0.0,-0.026218197168411533,0.0,0.07078515604728634,0.0,-0.03616449309470902,0.0
74,"common_add(成交额, common_min(0.717, 开盘价))",0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
75,"ts_std_10(common_mul(开盘价, 最低价))",0.024434986450748736,0.0,0.024434986450748736,0.0,0.06908071658033227,0.0,-0.074157558824818,0.0
76,"common_add(common_mul(成交量, 收盘价), 成交量)",0.026218197749500877,0.0,-0.026218197749500877,0.0,0.07078515763525407,0.0,-0.03616449309470902,0.0
77,"common_min(common_sub(收盘价, 成交额), common_sqrt(最低价))",0.02528822533252464,0.0,0.02528822533252464,0.0,0.06861665821381793,0.0,0.04950647961562365,0.0
78,"common_abs(common_sub(收盘价, 成交额))",0.02528822533252464,0.0,-0.02528822533252464,0.0,0.06861665821381793,0.0,-0.04950647961562365,0.0
